10d 12b 10e 0 0
12a 12b 10d 0 0
114 123 122 0 0
114 115 123 0 0
133 125 126 0 0
5 125 133 0 0
12f 134 130 0 0
136 134 12f 0 0
121 136 12f 0 0
121 122 136 0 0
10e 124 10f 0 0
12b 124 10e 0 0
4 133 12c 0 0
4 5 133 0 0
121 113 122 0 0
112 113 121 0 0
130 c4 12f 0 0
c3 c4 130 0 0
129 10c 10b 0 0
129 12a 10c 0 0
ad 135 110 0 0
1 135 ad 0 0
136 12a 134 0 0
12b 12a 136 0 0
136 123 12b 0 0
122 123 136 0 0
c1 130 131 0 0
c1 c2 130 0 0
11d 126 125 0 0
11d 11e 126 0 0
6 11d 125 0 0
6 7 11d 0 0
132 110 135 0 0
132 10f 110 0 0
2 132 135 0 0
2 3 132 0 0
134 129 131 0 0
12a 129 134 0 0
c4 120 12f 0 0
c4 c5 120 0 0
128 10b 10a 0 0
128 129 10b 0 0
11e 127 126 0 0
11e 11f 127 0 0
132 12c 12d 0 0
3 12c 132 0 0
fe 1c 119 0 0
fe 1b 1c 0 0
118 fe 119 0 0
fd fe 118 0 0
115 124 123 0 0
115 116 124 0 0
128 c1 131 0 0
c0 c1 128 0 0
10a c0 128 0 0
bf c0 10a 0 0
133 12d 12c 0 0
12e 12d 133 0 0
126 12e 133 0 0
126 127 12e 0 0
12d 10f 132 0 0
12d 10e 10f 0 0
b1 114 113 0 0
b1 b0 114 0 0
b2 113 112 0 0
b2 b1 113 0 0
120 112 121 0 0
111 112 120 0 0
11d 11b 11e 0 0
11a 11b 11d 0 0
7 11a 11d 0 0
7 8 11a 0 0
12e 10e 12d 0 0
10d 10e 12e 0 0
127 10d 12e 0 0
127 10c 10d 0 0
ba d2 d3 0 0
ba b9 d2 0 0
bb d3 c7 0 0
bb ba d3 0 0
b0 115 114 0 0
b0 af 115 0 0
116 10f 124 0 0
116 110 10f 0 0
11b 11f 11e 0 0
11b 11c 11f 0 0
11f 10c 127 0 0
11f 10b 10c 0 0
1f ae 1e 0 0
1f ad ae 0 0
d2 b8 d1 0 0
b9 b8 d2 0 0
b3 112 111 0 0
b3 b2 112 0 0
c5 111 120 0 0
c5 c6 111 0 0
11c 10b 11f 0 0
11c 10a 10b 0 0
ae 117 1e 0 0
ae af 117 0 0
d1 b7 d0 0 0
b8 b7 d1 0 0
af 116 115 0 0
af ae 116 0 0
11a bd 11b 0 0
bc bd 11a 0 0
8 bc 11a 0 0
8 9 bc 0 0
f8 e1 e0 0 0
f9 e1 f8 0 0
b0 fd 118 0 0
b0 b1 fd 0 0
af 118 117 0 0
af b0 118 0 0
105 d3 d2 0 0
c8 d3 105 0 0
c9 105 106 0 0
c9 c8 105 0 0
ed cd e9 0 0
ed cc cd 0 0
e8 ed e9 0 0
ec ed e8 0 0
c6 b3 111 0 0
c6 b4 b3 0 0
be 10a 11c 0 0
be bf 10a 0 0
bd 11c 11b 0 0
bd be 11c 0 0
119 117 118 0 0
1d 117 119 0 0
d9 d5 d4 0 0
d9 da d5 0 0
f1 ca cb 0 0
f4 ca f1 0 0
eb e8 e7 0 0
eb ec e8 0 0
ae 110 116 0 0
ae ad 110 0 0
ff f6 100 0 0
f5 f6 ff 0 0
109 106 105 0 0
109 107 106 0 0
105 d1 109 0 0
d2 d1 105 0 0
ca 106 104 0 0
ca c9 106 0 0
c1 cd d4 0 0
c1 c0 cd 0 0
c2 d4 d5 0 0
c2 c1 d4 0 0
f 103 f2 0 0
f 20 103 0 0
ed cb cc 0 0
f1 cb ed 0 0
f0 ed ec 0 0
f0 f1 ed 0 0
102 bd fb 0 0
102 be bd 0 0
fb e8 102 0 0
e7 e8 fb 0 0
e3 101 e4 0 0
108 101 e3 0 0
b7 108 e3 0 0
b7 b8 108 0 0
e0 de dd 0 0
e0 e1 de 0 0
dd b5 e0 0 0
b4 b5 dd 0 0
ff fe fd 0 0
100 fe ff 0 0
109 db 107 0 0
dc db 109 0 0
109 d0 dc 0 0
d1 d0 109 0 0
cb 104 d9 0 0
cb ca 104 0 0
d6 db d7 0 0
da db d6 0 0
d6 c2 d5 0 0
c3 c2 d6 0 0
20 c7 103 0 0
20 10 c7 0 0
103 f3 f2 0 0
103 fc f3 0 0
f3 f0 ef 0 0
f3 f4 f0 0 0
ef ec eb 0 0
ef f0 ec 0 0
ea e7 e6 0 0
ea eb e7 0 0
fb bc fa 0 0
fb bd bc 0 0
fa e7 fb 0 0
e6 e7 fa 0 0
108 e5 101 0 0
b9 e5 108 0 0
b6 e3 f8 0 0
b6 b7 e3 0 0
e0 b6 f8 0 0
b5 b6 e0 0 0
f5 de f6 0 0
dd de f5 0 0
b3 dd f5 0 0
b3 b4 dd 0 0
b2 f5 ff 0 0
b2 b3 f5 0 0
b1 ff fd 0 0
b1 b2 ff 0 0
107 104 106 0 0
da 104 107 0 0
d4 cc d9 0 0
cd cc d4 0 0
c5 d7 d8 0 0
c5 c4 d7 0 0
c6 d8 ce 0 0
c6 c5 d8 0 0
b7 cf d0 0 0
b7 b6 cf 0 0
103 c8 fc 0 0
c7 c8 103 0 0
ee f3 ef 0 0
f2 f3 ee 0 0
ee eb ea 0 0
ee ef eb 0 0
102 e9 bf 0 0
e8 e9 102 0 0
fa b e6 0 0
a b fa 0 0
9 fa bc 0 0
9 a fa 0 0
14 e4 101 0 0
14 15 e4 0 0
101 13 14 0 0
e5 13 101 0 0
f8 e4 f9 0 0
e3 e4 f8 0 0
e2 18 df 0 0
e2 17 18 0 0
e1 df de 0 0
e1 e2 df 0 0
1a fe 100 0 0
1a 1b fe 0 0
f7 1a 100 0 0
f7 19 1a 0 0
db d8 d7 0 0
db dc d8 0 0
d7 c3 d6 0 0
c4 c3 d7 0 0
ee e f2 0 0
d e ee 0 0
ea d ee 0 0
c d ea 0 0
e6 c ea 0 0
b c e6 0 0
e9 c0 bf 0 0
e9 cd c0 0 0
e5 12 13 0 0
ba 12 e5 0 0
16 e2 f9 0 0
16 17 e2 0 0
e4 16 f9 0 0
e4 15 16 0 0
df 19 f7 0 0
df 18 19 0 0
f6 df f7 0 0
de df f6 0 0
d8 cf ce 0 0
dc cf d8 0 0
ce b4 c6 0 0
b5 b4 ce 0 0
b6 ce cf 0 0
b6 b5 ce 0 0
ba 11 12 0 0
ba bb 11 0 0
64 8e 65 0 0
64 8f 8e 0 0
7c 4f 50 0 0
7b 4f 7c 0 0
66 8e 8d 0 0
65 8e 66 0 0
7a 4e 7b 0 0
7a 4d 4e 0 0
59 6d 6e 0 0
58 6d 59 0 0
70 50 51 0 0
7c 50 70 0 0
63 90 8f 0 0
62 90 63 0 0
58 6c 6d 0 0
57 6c 58 0 0
95 a9 94 0 0
95 9b a9 0 0
62 91 90 0 0
61 91 62 0 0
5a 6f 5b 0 0
5a 6e 6f 0 0
7a 4c 4d 0 0
79 4c 7a 0 0
52 94 53 0 0
52 95 94 0 0
66 8c 67 0 0
66 8d 8c 0 0
9f ac a4 0 0
9e ac 9f 0 0
23 ac 9e 0 0
22 ac 23 0 0
21 ac 22 0 0
a4 ac 21 0 0
c 98 d 0 0
c 99 98 0 0
51 96 95 0 0
50 96 51 0 0
61 f 91 0 0
20 f 61 0 0
2a 80 7f 0 0
29 80 2a 0 0
78 4c 79 0 0
78 4b 4c 0 0
9a aa 99 0 0
93 aa 9a 0 0
94 aa 93 0 0
94 a9 aa 0 0
8d 9c 9b 0 0
8e 9c 8d 0 0
b 9a 99 0 0
a 9a b 0 0
54 94 93 0 0
53 94 54 0 0
59 a3 58 0 0
8b a3 59 0 0
8a a3 8b 0 0
8a a2 a3 0 0
7b a5 7a 0 0
7b 81 a5 0 0
9f ab 9e 0 0
a0 ab 9f 0 0
89 ab a0 0 0
88 ab 89 0 0
87 ab 88 0 0
9e ab 87 0 0
9c aa a9 0 0
9d aa 9c 0 0
98 aa 9d 0 0
99 aa 98 0 0
90 9c 8f 0 0
90 9d 9c 0 0
a 92 9a 0 0
9 92 a 0 0
50 8c 96 0 0
4f 8c 50 0 0
86 59 5a 0 0
86 8b 59 0 0
4 a2 8a 0 0
3 a2 4 0 0
3 a1 a2 0 0
2 a1 3 0 0
80 a6 7f 0 0
79 a6 80 0 0
7a a6 79 0 0
7a a5 a6 0 0
6f 82 81 0 0
6e 82 6f 0 0
2b 7e 2c 0 0
2b 7f 7e 0 0
77 65 66 0 0
77 89 65 0 0
76 89 77 0 0
76 88 89 0 0
62 a8 61 0 0
a4 a8 62 0 0
21 a8 a4 0 0
10 a8 21 0 0
8d 96 8c 0 0
8d 9b 96 0 0
d 97 e 0 0
d 98 97 0 0
54 92 55 0 0
54 93 92 0 0
46 23 24 0 0
46 4a 23 0 0
85 8a 8b 0 0
84 8a 85 0 0
a1 56 57 0 0
a1 a7 56 0 0
2 a7 a1 0 0
1 a7 2 0 0
83 a5 82 0 0
83 a6 a5 0 0
7e a6 83 0 0
7f a6 7e 0 0
6d 83 82 0 0
6c 83 6d 0 0
29 78 80 0 0
28 78 29 0 0
28 4b 78 0 0
27 4b 28 0 0
75 88 76 0 0
75 87 88 0 0
23 87 24 0 0
23 9e 87 0 0
9f 62 63 0 0
9f a4 62 0 0
90 97 9d 0 0
91 97 90 0 0
e 91 f 0 0
e 97 91 0 0
55 9 8 0 0
55 92 9 0 0
67 4f 4e 0 0
67 8c 4f 0 0
73 5a 5b 0 0
73 86 5a 0 0
73 85 86 0 0
72 85 73 0 0
a1 a3 a2 0 0
57 a3 a1 0 0
57 6b 6c 0 0
56 6b 57 0 0
6f 7c 70 0 0
6f 81 7c 0 0
2c 7d 2d 0 0
2c 7e 7d 0 0
6a 66 67 0 0
6a 77 66 0 0
69 77 6a 0 0
69 76 77 0 0
63 a0 9f 0 0
64 a0 63 0 0
89 64 65 0 0
89 a0 64 0 0
5f 5b 5c 0 0
5f 73 5b 0 0
5e 73 5f 0 0
5e 72 73 0 0
72 84 85 0 0
71 84 72 0 0
4 84 5 0 0
4 8a 84 0 0
5b 70 5c 0 0
5b 6f 70 0 0
6c 7d 83 0 0
6b 7d 6c 0 0
2d 6b 2e 0 0
2d 7d 6b 0 0
4b 69 4c 0 0
4b 68 69 0 0
27 68 4b 0 0
26 68 27 0 0
68 76 69 0 0
68 75 76 0 0
25 87 75 0 0
24 87 25 0 0
3e 42 3f 0 0
3e 41 42 0 0
16 3e 17 0 0
16 41 3e 0 0
55 5e 54 0 0
55 5d 5e 0 0
8 5d 55 0 0
7 5d 8 0 0
5d 72 5e 0 0
5d 71 72 0 0
5 71 6 0 0
5 84 71 0 0
5c 51 52 0 0
5c 70 51 0 0
4c 6a 4d 0 0
4c 69 6a 0 0
26 75 68 0 0
25 75 26 0 0
1b 36 49 0 0
1a 36 1b 0 0
22 74 21 0 0
